City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,23.5,94,83,4.65,broken clouds
1,Bataipora,BR,-22.2953,-53.2711,71.74,41,4,4.61,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,69.55,94,99,5.01,overcast clouds
3,Busselton,AU,-33.65,115.3333,61.72,77,100,19.44,light rain
4,Pevek,RU,69.7008,170.3133,38.41,74,91,14.81,overcast clouds
5,Ishigaki,JP,24.3448,124.1572,84.58,73,18,1.39,few clouds
6,Nikolskoye,RU,59.7035,30.7861,60.87,92,73,2.08,broken clouds
7,Ekhabi,RU,53.5102,142.9671,57.61,95,100,12.5,overcast clouds
8,Hilo,US,19.7297,-155.09,89.28,95,85,3.0,overcast clouds
9,Jamestown,US,42.097,-79.2353,67.59,72,0,3.44,clear sky
10,Khatanga,RU,71.9667,102.5,73.74,39,0,6.33,clear sky
11,Taltal,CL,-25.4,-70.4833,58.73,79,0,4.97,clear sky
12,Sola,VU,-13.8833,167.55,79.72,78,5,10.49,clear sky
13,Vao,NC,-22.6667,167.4833,69.22,67,1,13.2,clear sky
14,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22,few clouds
15,Ribeira Grande,PT,38.5167,-28.7,74.52,89,10,5.06,clear sky
16,Klaksvik,FO,62.2266,-6.589,47.32,84,44,10.2,scattered clouds
17,Eureka,US,40.8021,-124.1637,72.19,79,53,7.0,broken clouds
18,Coihaique,CL,-45.5752,-72.0662,25.59,97,100,3.98,overcast clouds
19,Manica,FR,49.0,-1.1667,55.98,93,39,3.69,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,82.65,75,41,12.39,scattered clouds
21,Kodiak,US,57.79,-152.4072,62.11,59,75,13.8,broken clouds
22,Samarai,PG,-10.6167,150.6667,80.2,73,92,16.89,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,46.78,65,0,4.72,clear sky
24,Hermanus,ZA,-34.4187,19.2345,47.8,53,0,8.39,clear sky
25,Kahului,US,20.8947,-156.47,81.97,86,100,11.99,overcast clouds
26,Sitka,US,57.0531,-135.33,57.09,94,100,0.0,mist
27,Bethel,US,41.3712,-73.414,79.75,89,34,3.98,scattered clouds
28,Rikitea,PF,-23.1203,-134.9692,75.61,74,73,12.68,broken clouds
29,Saskylakh,RU,71.9167,114.0833,71.85,67,92,6.91,overcast clouds
30,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,93,35,3.24,scattered clouds
31,Ponta Do Sol,PT,32.6667,-17.1,88.43,43,98,5.91,overcast clouds
32,Mogadishu,SO,2.0371,45.3438,75.65,83,97,17.25,overcast clouds
33,Tasiilaq,GL,65.6145,-37.6368,39.38,89,100,2.21,overcast clouds
34,Cidreira,BR,-30.1811,-50.2056,60.89,95,4,5.84,clear sky
35,Okoneshnikovo,RU,54.8377,75.0834,65.62,81,0,3.69,clear sky
36,Karratha,AU,-20.7377,116.8463,68.7,33,0,17.6,clear sky
37,Inhambane,MZ,-23.865,35.3833,60.3,86,0,8.48,clear sky
38,Iqaluit,CA,63.7506,-68.5145,40.01,88,66,6.51,broken clouds
39,Airai,TL,-8.9266,125.4092,68.9,43,19,3.83,few clouds
40,Yellowknife,CA,62.456,-114.3525,68.99,38,7,15.19,clear sky
41,Mareeba,AU,-17.0,145.4333,76.48,74,1,5.48,clear sky
42,Castro,BR,-24.7911,-50.0119,58.78,74,75,2.68,broken clouds
43,Vredendal,ZA,-31.6683,18.5012,58.01,30,0,9.75,clear sky
44,Hobart,AU,-42.8794,147.3294,57.25,89,75,3.44,broken clouds
45,Beringovskiy,RU,63.05,179.3167,44.91,83,100,4.79,overcast clouds
46,Port Alfred,ZA,-33.5906,26.891,52.18,83,0,1.01,clear sky
47,Lompoc,US,34.6391,-120.4579,82.54,57,40,11.99,scattered clouds
48,Tiksi,RU,71.6872,128.8694,50.63,80,72,4.59,broken clouds
49,Ancud,CL,-41.8697,-73.8203,46.83,94,100,5.73,light rain
50,Mataura,NZ,-46.1927,168.8643,46.47,96,100,11.07,light rain
51,Birao,CF,10.2849,22.7882,70.66,96,99,4.88,overcast clouds
52,Norman Wells,CA,65.282,-126.8329,78.03,33,13,10.96,few clouds
53,Torbay,CA,47.6666,-52.7314,68.76,89,53,18.03,broken clouds
54,Kerema,PG,-7.9631,145.7785,81.86,79,28,3.87,scattered clouds
55,Bluff,NZ,-46.6,168.3333,46.8,89,100,26.96,light rain
56,Paciran,ID,-6.8767,112.3761,76.55,72,91,6.24,overcast clouds
57,Avarua,CK,-21.2078,-159.775,71.65,64,40,5.75,scattered clouds
58,Albany,US,42.6001,-73.9662,74.35,63,0,9.78,clear sky
59,Port Lincoln,AU,-34.7333,135.8667,57.2,61,47,13.87,scattered clouds
60,Luderitz,NA,-26.6481,15.1594,55.17,84,35,11.81,scattered clouds
61,Chokurdakh,RU,70.6333,147.9167,61.56,36,42,14.92,scattered clouds
62,Rawson,AR,-43.3002,-65.1023,45.18,94,100,7.18,overcast clouds
63,The Valley,AI,18.217,-63.0578,82.81,79,94,20.98,overcast clouds
64,Tabou,CI,4.423,-7.3528,73.47,78,1,5.17,clear sky
65,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,10.36,few clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,56.08,94,100,15.01,light rain
67,Kattivakkam,IN,13.2167,80.3167,80.69,87,100,7.65,overcast clouds
